id,loss
4,1997.09546014
6,1628.1808418
9,4559.62385667
12,4089.54236554
15,1588.49166982
17,1778.75923518
21,1588.49166982
28,1744.64694272
32,2283.91985949
43,3656.01690919
46,1778.75923518
50,1628.1808418
54,1588.49166982
62,1744.64694272
70,1628.1808418
71,3505.54057751
75,1778.75923518
77,2504.36596057
81,1778.75923518
83,3047.94093666
87,1778.75923518
97,2461.34395912
103,1628.1808418
119,1588.49166982
120,1628.1808418
127,1628.1808418
138,3047.94093666
141,1628.1808418
148,1628.1808418
150,2283.91985949
151,1997.09546014
158,1628.1808418
160,4970.70075062
165,1588.49166982
168,3644.26382662
169,2428.89792223
177,2428.89792223
178,3505.54057751
184,1778.75923518
194,4970.70075062
198,1628.1808418
203,3644.26382662
211,1628.1808418
217,1588.49166982
219,1744.64694272
221,2974.43012645
227,1744.64694272
230,1628.1808418
235,1744.64694272
240,1588.49166982
243,1778.75923518
249,4552.74075151
253,2604.55034004
258,1628.1808418
261,1628.1808418
263,2604.55034004
264,1997.09546014
265,4970.70075062
268,1628.1808418
271,2504.36596057
274,4970.70075062
275,1588.49166982
279,1997.09546014
282,1628.1808418
286,2604.55034004
288,1628.1808418
294,1997.09546014
296,1588.49166982
297,1778.75923518
300,1588.49166982
303,5530.38183505
314,1628.1808418
315,4559.62385667
321,1997.09546014
323,4373.77909516
330,2506.49172259
341,2705.6909397
342,4552.74075151
352,1997.09546014
353,4089.54236554
360,4373.77909516
361,1778.75923518
362,3047.94093666
366,1588.49166982
372,2487.56762836
376,2487.56762836
377,1628.1808418
379,1588.49166982
380,4559.62385667
387,1628.1808418
392,2283.91985949
394,4089.54236554
395,1588.49166982
397,1628.1808418
407,3663.96326662
411,3663.96326662
416,1997.09546014
417,1778.75923518
419,1628.1808418
428,4089.54236554
431,2140.42367179
436,4373.77909516
438,1588.49166982
445,4970.70075062
446,5454.39155001
455,1778.75923518
456,1628.1808418
461,1588.49166982
463,1997.09546014
464,3189.25687622
466,2504.36596057
467,1628.1808418
470,1588.49166982
475,1628.1808418
