id,loss
4,1666.96219634
6,1806.62383369
9,7908.97876951
12,5427.27357519
15,1039.35440119
17,2017.77195248
21,1900.50479736
28,1203.07335755
32,2231.50108103
43,3212.14465566
46,2382.90004744
50,1260.10364344
54,1418.54668401
62,2148.38183765
70,2085.04601181
71,4500.41304926
75,1920.9127176
77,2520.4413217
81,2208.48671414
83,2500.17792762
87,1846.69595854
97,1885.3175503
103,1388.04944978
119,1289.19633764
120,1621.74739599
127,1268.81405934
138,3597.0950601
141,2551.9821963
148,1050.71684746
150,2313.24497531
151,2047.65641825
158,1588.51752217
160,5777.84941469
165,2325.03788368
168,3579.49976446
169,3299.77539631
177,2829.65067906
178,3339.38582602
184,1943.23883938
194,7436.76342027
198,1648.27680329
203,3727.85188534
211,2141.59823894
217,1304.67721731
219,1453.26074729
221,3969.9331767
227,1775.91387712
230,1520.65608391
235,1813.45285262
240,1052.18789392
243,2757.25875826
249,5383.42480935
253,2671.52420185
258,1400.43302063
261,1603.66673942
263,3096.03112937
264,2571.50418192
265,4547.93657663
268,1773.03205445
271,1593.53922798
274,5555.05392044
275,1048.38189355
279,1717.32631372
282,1527.02198962
286,2869.45398543
288,1294.90475717
294,2157.95381632
296,1175.35677575
297,1548.52169014
300,1065.75107525
303,7486.47178717
314,1280.34855769
315,4301.90858877
321,2324.0988588
323,4380.42602514
330,3103.64571611
341,2092.58217049
342,4708.19052749
352,1800.68196199
353,4052.38246455
360,4541.6776499
361,1937.53354323
362,3698.29882372
366,1401.98528521
372,3165.16356538
376,2616.258387
377,2126.49146525
379,1618.7441283
380,3822.67470946
387,1702.1932744
392,1975.2169637
394,7695.67860125
395,1650.55229131
397,1506.90580605
407,4647.74691726
411,6013.47315653
416,2349.63359502
417,1659.98634507
419,3486.90375949
428,4897.31561615
431,1957.2126067
436,5647.82112986
438,1595.53388498
445,6264.74422981
446,5825.94210413
455,1470.28703063
456,1411.07551058
461,1225.5287355
463,1881.65791099
464,3445.42171057
466,2038.35143487
467,1526.61871759
470,1442.64406921
475,1499.31688573
482,2910.07607907
490,3459.43639478
496,1852.95498318
497,4305.35017671
508,2631.03241301
510,1792.2651284
512,2303.81062038
513,3108.08264795
523,1967.76601899
531,5306.84151245
532,2092.78756826
533,1470.0257331
537,1338.39210273
