id,loss
4,1376.84331677
6,1853.68894738
9,8091.10582471
12,5335.50299912
15,973.556216889
17,2073.67137774
21,1971.84076139
28,833.588158153
32,2277.96771655
43,3280.13401081
46,2467.57021004
50,948.566450365
54,1302.98544421
62,2090.00105185
70,2084.16284196
71,4145.22251127
75,2147.95462131
77,2230.2963089
81,2403.80027301
83,2462.01821715
87,1814.58714775
97,1766.86100184
103,1225.16899149
119,1172.15520191
120,1521.93194273
127,993.216796467
138,5265.19900617
141,2615.24415477
148,1001.79232387
150,2381.75976941
151,2192.6659661
158,1565.09944151
160,5114.10516744
165,2529.01956379
168,4100.97967724
169,3594.55612932
177,2654.33396892
178,3317.52593814
184,1964.78584325
194,9705.03163658
198,1519.63577977
203,4125.69074651
211,2024.95586865
217,1255.87734729
219,1283.10253458
221,5259.06816011
227,1796.63513267
230,1534.31137327
235,2212.35609972
240,829.19710659
243,2484.49887964
249,5270.99614676
253,3093.46000528
258,1523.09449231
261,1795.42573503
263,3017.3375159
264,2843.68317691
265,3915.64260353
268,1850.614876
271,1265.32762829
274,5243.36015883
275,780.728549242
279,1601.62304787
282,1511.62934645
286,3182.60037573
288,1326.96254385
294,2272.17048358
296,1064.41492817
297,1545.27789732
300,912.304297525
303,9177.04848356
314,1170.31005371
315,5156.07483392
321,2117.39533084
323,3170.45205169
330,2705.99403191
341,1730.71416492
342,4713.71027017
352,1681.4508789
353,3291.98261298
360,4098.42820983
361,2228.92585937
362,3891.5398964
366,1121.12625659
372,3047.86116931
376,2859.66962557
377,2250.55907668
379,1826.35801177
380,3955.03733149
387,1733.68292454
392,2031.32852747
394,9360.69239678
395,1345.37412136
397,1525.11280848
407,6558.55452133
411,7623.12684698
416,2439.31202806
417,1819.45585912
419,3872.23233737
428,6270.16208882
431,1658.65048721
436,9329.77699156
438,1323.41830781
445,7461.56369648
446,7547.67510093
455,1678.32389953
456,1225.45613845
461,1026.97745046
463,1753.82689342
464,3479.85163796
466,1381.347978
467,1250.01578201
470,1135.1554026
475,1206.72798068
482,3311.1969841
490,3443.16603554
496,2175.51735597
497,4477.39910691
508,3090.78045583
510,2009.46569598
512,1998.91834798
513,3451.46970307
523,2215.06372703
531,4526.45431289
532,3133.64218412
533,1369.68956225
537,1224.98203827
544,4652.62529025
547,2882.82977425
556,7153.86932354
565,1318.71576533
566,1357.00733303
571,1624.98515914
573,2289.38614468
574,941.044409853
581,1985.11299469
585,1917.25213529
589,1851.36797162
597,1659.81150649
601,3497.59738481
602,1382.59094439
613,1866.524733
616,1497.49598563
619,1754.18881528
622,2013.81102777
623,2067.52631576
629,1662.22216549
634,1309.83751774
638,1050.44248863
642,1143.99525345
643,2096.47770913
645,1168.48922291
648,7013.45668781
652,1281.14633831
664,1050.51879237
666,1947.72262726
672,1015.79001779
676,2480.28230357
678,4051.89319663
682,2156.38265114
686,2718.95295763
688,2225.09058671
689,1326.59940738
690,1784.66677997
692,9531.87795703
695,1531.14696815
697,4692.91929048
698,2240.16273862
706,2484.4790483
708,1442.275498
712,2785.74964754
715,3673.78917965
717,1178.4625868
725,3255.54377298
729,1114.8623326
737,1635.08252867
739,5301.01715214
747,3399.97576627
753,2445.17608993
758,2984.82005515
759,2172.83517229
763,1436.35472469
773,4367.86814279
774,2002.29144505
776,1497.53807396
788,2603.58951009
790,3668.33376113
794,1079.44232929
801,3468.22547729
802,1211.53090347
805,1399.95666338
809,4430.21577375
812,1227.68050906
825,2350.70000507
828,1738.87559501
830,1369.6687727
833,1134.42964964
850,4441.11149337
852,5334.4337032
862,1376.39092172
863,1193.65550185
864,1767.58364903
865,3464.04017586
868,6730.51968782
872,1447.57651876
879,5066.6352156
880,1333.64030714
883,1456.15582936
886,1492.82694855
923,1681.71894936
924,1410.14486008
932,1803.26390107
945,7174.02623645
947,6785.68840373
948,2468.40387458
955,2945.36583064
963,3882.70109968
979,1081.49011768
989,1688.57871806
994,3205.29133845
995,2049.60378543
998,1791.26169089
1000,4188.09336793
1018,1789.12865789
1019,1681.09462709
1028,2533.42071595
1034,1318.84391762
1038,1791.84660943
1040,1341.81711074
1042,1430.3762573
1057,7101.96067535
1058,2150.73828046
1063,1200.33417402
1066,3956.13122665
1071,4125.44696708
1073,3653.99579233
1074,2207.0625256
1077,2506.06432772
1080,9761.76116475
1088,1076.80331386
1096,878.12981028
1097,10100.6154112
1105,5882.6919229
1115,1856.80508727
1116,2509.86867486
1122,2037.6568162
1130,4317.86954335
1133,963.300573593
1137,2097.08581973
1140,1825.11291643
1143,9287.62377222
1149,6349.09602181
1150,890.266604902
1153,834.568071815
1157,1108.830221
1180,648.495840284
1183,970.829962304
1188,1633.82539714
1193,1057.34089836
1200,979.217298449
1209,4477.18486308
1214,1893.87065968
1219,1980.54504495
1223,4840.7987084
1227,1000.64006715
1228,1407.70160445
1229,5024.09604667
1233,1061.69731361
1238,4978.06095037
1239,2156.85883624
1241,3673.70839232
1243,1619.94155178
1244,1299.45812142
1245,3305.54308078
1277,3832.93390561
1279,2860.7565527
1292,9084.28266568
1293,1352.68092341
1299,8535.65971306
1304,2801.76331098
1313,3786.74568757
1328,2239.23776554
1330,1041.08050856
1334,1364.69494759
1335,1332.91353847
1336,6233.8226337
1341,1030.91288161
1344,1090.04881509
1351,976.044158105
1352,2203.30664356
1354,1633.60860594
1368,3645.60190902
1373,1301.68906875
1375,831.21678592
1381,1544.37974623
1384,3409.81471014
1385,3933.15092336
1388,5143.77888412
1401,6598.88919366
1402,2530.00428878
1404,1433.68478878
1406,1503.62147337
1409,967.218951602
1422,1482.35641484
1429,3202.5253077
1433,6184.76527983
1438,1123.77026321
1444,1158.40959816
